Extremely Loud & Incredibly Close,2011,79 Metascore,Stephen Daldry,$176.04M
Fantastic Beasts and Where to Find Them,2016,58 Metascore,David Yates,$6.22M
Fantastic Mr. Fox,2009,46 Metascore,Wes Anderson,$11.63M
Far from Heaven,2002,67 Metascore,Todd Haynes,$28.87M
Fences,2016,90 Metascore,Denzel Washington,$53.37M
Ferdinand,2017,67 Metascore,Carlos Saldanha,$187.71M
Fifty Shades of Grey,2015,84 Metascore,Sam Taylor-Johnson,$20.30M
Fight Club,1999,86 Metascore,David Fincher,$167.77M
Finding Nemo,2003,79 Metascore,Andrew Stanton,$41.31M
Finding Neverland,2004,76 Metascore,Marc Forster,$274.09M
First Man,2018,71 Metascore,Damien Chazelle,$85.08M
First Reformed,2017,81 Metascore,Paul Schrader,$0.77M
Flags of Our Fathers,2006,85 Metascore,Clint Eastwood,$333.18M
Flight,I 2012,52 Metascore,Robert Zemeckis,$389.81M
Florence Foster Jenkins,2016,81 Metascore,Stephen Frears,$67.21M
Ford v Ferrari,2019,62 Metascore,James Mangold,$30.50M
The Salesman,2016,61 Metascore,Asghar Farhadi,$2.69M
Four Good Days,2020,80 Metascore,Rodrigo García,$198.00M
Foxcatcher,2014,75 Metascore,Bennett Miller,$3.49M
Free Guy,2021,64 Metascore,Shawn Levy,$295.98M
Frida,2002,82 Metascore,Julie Taymor,$381.01M
Frost/Nixon,2008,72 Metascore,Ron Howard,$290.01M
Harry Potter and the Half-Blood Prince,2009,78 Metascore,David Yates,$301.96M
Harry Potter and the Prisoner of Azkaban,2004,82 Metascore,Alfonso Cuarón,$249.36M
Harry Potter and the Sorcerer's Stone,2001,65 Metascore,Chris Columbus,$317.58M
Hell or High Water,II 2016,88 Metascore,David Mackenzie,$27.01M
Hellboy II: The Golden Army,2008,78 Metascore,Guillermo del Toro,$75.75M
Her,2013,91 Metascore,Spike Jonze,$25.57M
Hereafter,2010,56 Metascore,Clint Eastwood,$32.75M
Hidden Figures,2016,74 Metascore,Theodore Melfi,$169.61M
